"name","count","residential pop.","daytime pop.","trains","entry/exit","all passengers"
"Temple",4,0.036979855,0.002107083,0.434782609,0.142638092,0.016402047
"Turnham Green",1,0.013898734,0.014631648,0.077041602,0.051366345,0.012374247
"Turnpike Lane",6,0.117829579,0.12396182,0.750938673,0.202791767,0.05231448
"Tower Hill",5,0.058855381,0.003104346,0.544662309,0.076302095,0.023141399
"Upminster Bridge",1,0.051305731,0.059605412,0.214132762,0.239808153,0.078094494
"Upton Park",4,0.051490654,0.062399576,0.501882058,0.127093064,0.028244798
"Upminster",0,0,0,0,0,0
"Upney",2,0.071050481,0.089972558,0.407331976,0.288142919,0.033861574
"Uxbridge",3,0.305405681,0.12254902,0.634249471,0.126114007,0.126114007
"Victoria",68,0.70173266,0.132718405,3.526970954,0.260531407,0.098573868
"Vauxhall",11,0.102821996,0.067148918,1.092353525,0.153162812,0.054795885
"Watford",3,0.253185923,0.28481914,1.477832512,0.564546481,0.564546481
"West Brompton",7,0.035308419,0.036830668,1.464435146,0.649893232,0.060242001
"White City",5,0.030848583,0.020404249,0.563063063,0.206406869,0.043062613
"West Finchley",0,0,0,0,0,0
"West Ham",18,0.421644413,0.437031102,1.133501259,0.695517774,0.068478298
"West Hampstead",3,0.023809146,0.030548965,0.321888412,0.102179837,0.027608548
"West Harrow",1,0.021601538,0.024219526,0.31152648,0.275709953,0.026278446
"Willesden Green",8,0.151946819,0.218896216,0.827300931,0.309789343,0.115204055
"Wimbledon",2,0.056939502,0.053724447,0.415800416,0.052638505,0.051618232
"Wimbledon Park",0,0,0,0,0,0
"Willesden Junction",13,0.354813177,0.309671272,3.915662651,0.763582966,0.269351898
"Warwick Avenue",0,0,0,0,0,0
"West Kensington",1,0.00492017,0.004740662,0.205338809,0.064800415,0.009893741
"Wood Lane",1,0.005441081,0.003779104,0.230414747,0.102553584,0.023543815
"Waterloo",35,0.326529089,0.03443865,1.196172249,0.123054422,0.054493113
"Woodford",7,0.305877212,0.435729847,1.275045537,0.445122727,0.115029415
"Wood Green",7,0.131517144,0.136497475,0.876095119,0.198294666,0.078224527
"Woodside Park",1,0.032757886,0.037097492,0.146627566,0.112777715,0.040462896
"Whitechapel",1,0.006893509,0.004685596,0.125313283,0.018453249,0.005889698
"West Ruislip",2,0.121440282,0.128452152,0.673400673,0.436014825,0.435729847
"Warren Street",11,0.044985359,0.008712699,0.631458094,0.189426554,0.022729809
"Wanstead",4,0.146113384,0.190394593,0.900900901,0.485554746,0.076612208
"Westminster",15,0.208872922,0.014422522,0.809935205,0.231067842,0.026653352
"Westbourne Park",0,0,0,0,0,0
"West Acton",0,0,0,0,0,0
"Walthamstow Central",9,0.217569985,0.25489252,1.311953353,0.188770267,0.188770267
"Wembley Central",6,0.120882442,0.141352746,2.777777778,0.474008532,0.193498452
"Wembley Park",13,0.604089219,0.594285714,0.866089274,0.401904409,0.079428603
